text,drug,effect,indexes
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",ethambutol,anti-native DNA antibodies,"{'drug': {'start_char': [77], 'end_char': [87]}, 'effect': {'start_char': [29], 'end_char': [55]}}"
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",rifampicin,anti-native DNA antibodies,"{'drug': {'start_char': [92], 'end_char': [102]}, 'effect': {'start_char': [29], 'end_char': [55]}}"
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",ethambutol,hepatitis,"{'drug': {'start_char': [77], 'end_char': [87]}, 'effect': {'start_char': [15], 'end_char': [24]}}"
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",rifampicin,hepatitis,"{'drug': {'start_char': [92], 'end_char': [102]}, 'effect': {'start_char': [15], 'end_char': [24]}}"
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",ethambutol,Polyarthritis,"{'drug': {'start_char': [77], 'end_char': [87]}, 'effect': {'start_char': [0], 'end_char': [13]}}"
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",rifampicin,Polyarthritis,"{'drug': {'start_char': [92], 'end_char': [102]}, 'effect': {'start_char': [0], 'end_char': [13]}}"
A case of normotensive scleroderma renal crisis after high-dose methylprednisolone treatment.,methylprednisolone,normotensive scleroderma renal crisis,"{'drug': {'start_char': [64], 'end_char': [82]}, 'effect': {'start_char': [10], 'end_char': [47]}}"
HUS has been reported after several anticancer chemotherapies and most often after mitomycin C-based chemotherapy regimens.,mitomycin C,HUS,"{'drug': {'start_char': [83], 'end_char': [94]}, 'effect': {'start_char': [0], 'end_char': [3]}}"
Severe hemolytic uremic syndrome in an advanced ovarian cancer patient treated with carboplatin and gemcitabine.,carboplatin,Severe hemolytic uremic syndrome,"{'drug': {'start_char': [84], 'end_char': [95]}, 'effect': {'start_char': [0], 'end_char': [32]}}"
Severe hemolytic uremic syndrome in an advanced ovarian cancer patient treated with carboplatin and gemcitabine.,gemcitabine,Severe hemolytic uremic syndrome,"{'drug': {'start_char': [100], 'end_char': [111]}, 'effect': {'start_char': [0], 'end_char': [32]}}"
"We present a case of HUS in an advanced ovarian cancer patient treated with carboplatin and gemcitabine, and described its favorable outcome after chemotherapy interruption and supportive care with a 1 year follow-up.",carboplatin,HUS,"{'drug': {'start_char': [76], 'end_char': [87]}, 'effect': {'start_char': [21], 'end_char': [24]}}"
"We present a case of HUS in an advanced ovarian cancer patient treated with carboplatin and gemcitabine, and described its favorable outcome after chemotherapy interruption and supportive care with a 1 year follow-up.",gemcitabine,HUS,"{'drug': {'start_char': [92], 'end_char': [103]}, 'effect': {'start_char': [21], 'end_char': [24]}}"
"An evaluation of ovarian structure and function should be considered in women of reproductive age being treated with valproate for epilepsy, especially if they develop menstrual cycle disturbances during treatment.",valproate,menstrual cycle disturbances,"{'drug': {'start_char': [117], 'end_char': [126]}, 'effect': {'start_char': [168], 'end_char': [196]}}"
"BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.",sodium valproate,hyperandrogenism,"{'drug': {'start_char': [167], 'end_char': [183]}, 'effect': {'start_char': [107], 'end_char': [123]}}"
"BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.",sodium valproate,menstrual disorders,"{'drug': {'start_char': [167], 'end_char': [183]}, 'effect': {'start_char': [62], 'end_char': [81]}}"
"BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.",sodium valproate,polycystic ovaries,"{'drug': {'start_char': [167], 'end_char': [183]}, 'effect': {'start_char': [83], 'end_char': [101]}}"
"BACKGROUND: Reproductive endocrine disorders characterized by menstrual disorders, polycystic ovaries, and hyperandrogenism seem to be common among women treated with sodium valproate for epilepsy.",sodium valproate,Reproductive endocrine disorders,"{'drug': {'start_char': [167], 'end_char': [183]}, 'effect': {'start_char': [12], 'end_char': [44]}}"
CONCLUSIONS: The 3 cases presented here illustrate the development of reproductive endocrine disorders after the initiation of valproate therapy in women with epilepsy.,valproate,reproductive endocrine disorders,"{'drug': {'start_char': [127], 'end_char': [136]}, 'effect': {'start_char': [70], 'end_char': [102]}}"
OBJECTIVE: To describe the development of valproate-related reproductive endocrine disorders in women with epilepsy.,valproate,reproductive endocrine disorders,"{'drug': {'start_char': [42], 'end_char': [51]}, 'effect': {'start_char': [60], 'end_char': [92]}}"
PATIENTS: Three patients developed a reproductive endocrine disorder during treatment with valproate.,valproate,reproductive endocrine disorder,"{'drug': {'start_char': [91], 'end_char': [100]}, 'effect': {'start_char': [37], 'end_char': [68]}}"
RESULTS: Replacing valproate with lamotrigine resulted in a decrease in serum testosterone concentrations in all 3 women.,valproate,serum testosterone,"{'drug': {'start_char': [19], 'end_char': [28]}, 'effect': {'start_char': [72], 'end_char': [90]}}"
"The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.",valproate,amenorrhea,"{'drug': {'start_char': [76, 200], 'end_char': [85, 209]}, 'effect': {'start_char': [164], 'end_char': [174]}}"
"The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.",valproate,gained weight,"{'drug': {'start_char': [76, 200], 'end_char': [85, 209]}, 'effect': {'start_char': [136], 'end_char': [149]}}"
"The polycystic changes disappeared from the ovaries in 2 of the women after valproate therapy was discontinued, and the 2 women who had gained weight and developed amenorrhea while being treated with valproate lost weight and resumed menstruating after the change in medication.",valproate,polycystic changes,"{'drug': {'start_char': [76, 200], 'end_char': [85, 209]}, 'effect': {'start_char': [4], 'end_char': [22]}}"
"However, recurrent staphylococcus aureus sepsis developed during CyA therapy.",CyA,staphylococcus aureus sepsis,"{'drug': {'start_char': [65], 'end_char': [68]}, 'effect': {'start_char': [19], 'end_char': [47]}}"
Recurrent septicemia with lethal outcome during and after cyclosporine therapy in severe ulcerative colitis.,cyclosporine,lethal,"{'drug': {'start_char': [58], 'end_char': [70]}, 'effect': {'start_char': [26], 'end_char': [32]}}"
Recurrent septicemia with lethal outcome during and after cyclosporine therapy in severe ulcerative colitis.,cyclosporine,septicemia,"{'drug': {'start_char': [58], 'end_char': [70]}, 'effect': {'start_char': [10], 'end_char': [20]}}"
A 60 year-old woman with chronic renal failure developed acute proximal muscle weakness after receiving a regular dosage of colchicine.,colchicine,proximal muscle weakness,"{'drug': {'start_char': [124], 'end_char': [134]}, 'effect': {'start_char': [63], 'end_char': [87]}}"
Colchicine-induced myopathy in renal failure.,Colchicine,myopathy,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [19], 'end_char': [27]}}"
Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.,colchicine,myopathy,"{'drug': {'start_char': [103], 'end_char': [113]}, 'effect': {'start_char': [122], 'end_char': [130]}}"
Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.,colchicine,vacuolated fibers,"{'drug': {'start_char': [103], 'end_char': [113]}, 'effect': {'start_char': [62], 'end_char': [79]}}"
Muscle biopsy revealed variation in muscle fiber size and few vacuolated fibers which were features of colchicine-induced myopathy.,colchicine,variation in muscle fiber size,"{'drug': {'start_char': [103], 'end_char': [113]}, 'effect': {'start_char': [23], 'end_char': [53]}}"
A third patient experienced disabling neurotoxicity in the extremity of a prior ulnar nerve and tendon transposition after receiving paclitaxel.,paclitaxel,disabling neurotoxicity,"{'drug': {'start_char': [133], 'end_char': [143]}, 'effect': {'start_char': [28], 'end_char': [51]}}"
Phantom limb pain as a manifestation of paclitaxel neurotoxicity.,paclitaxel,neurotoxicity,"{'drug': {'start_char': [40], 'end_char': [50]}, 'effect': {'start_char': [51], 'end_char': [64]}}"
Phantom limb pain as a manifestation of paclitaxel neurotoxicity.,paclitaxel,Phantom limb pain,"{'drug': {'start_char': [40], 'end_char': [50]}, 'effect': {'start_char': [0], 'end_char': [17]}}"
Physicians should be aware that PLP can occur after initiation of paclitaxel.,paclitaxel,PLP,"{'drug': {'start_char': [66], 'end_char': [76]}, 'effect': {'start_char': [32], 'end_char': [35]}}"
We describe 2 patients with prior amputation who experienced phantom limb pain (PLP) after receiving paclitaxel therapy.,paclitaxel,phantom limb pain,"{'drug': {'start_char': [101], 'end_char': [111]}, 'effect': {'start_char': [61], 'end_char': [78]}}"
We describe 2 patients with prior amputation who experienced phantom limb pain (PLP) after receiving paclitaxel therapy.,paclitaxel,PLP,"{'drug': {'start_char': [101], 'end_char': [111]}, 'effect': {'start_char': [80], 'end_char': [83]}}"
Skin manifestations of a case of phenylbutazone-induced serum sickness-like reactions.,phenylbutazone,serum sickness-like reactions,"{'drug': {'start_char': [33], 'end_char': [47]}, 'effect': {'start_char': [56], 'end_char': [85]}}"
Skin manifestations of a case of phenylbutazone-induced serum sickness-like reactions.,phenylbutazone,Skin manifestations,"{'drug': {'start_char': [33], 'end_char': [47]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
Our experience supports hemodialysis for ESRF patients with atenolol toxicity.,atenolol,atenolol toxicity,"{'drug': {'start_char': [60], 'end_char': [68]}, 'effect': {'start_char': [60], 'end_char': [77]}}"
Allergic reaction to gemfibrozil manifesting as eosinophilic gastroenteritis.,gemfibrozil,eosinophilic gastroenteritis,"{'drug': {'start_char': [21], 'end_char': [32]}, 'effect': {'start_char': [48], 'end_char': [76]}}"
We describe a case of EGE manifested as an allergy to gemfibrozil.,gemfibrozil,EGE,"{'drug': {'start_char': [54], 'end_char': [65]}, 'effect': {'start_char': [22], 'end_char': [25]}}"
This is the second report of lactic acidosis in a patient on stavudine and lamivudine.,lamivudine,lactic acidosis,"{'drug': {'start_char': [75], 'end_char': [85]}, 'effect': {'start_char': [29], 'end_char': [44]}}"
This is the second report of lactic acidosis in a patient on stavudine and lamivudine.,stavudine,lactic acidosis,"{'drug': {'start_char': [61], 'end_char': [70]}, 'effect': {'start_char': [29], 'end_char': [44]}}"
We present an AIDS patient with severe and prolonged lactic acidosis on stavudine and lamivudine.,lamivudine,lactic acidosis,"{'drug': {'start_char': [86], 'end_char': [96]}, 'effect': {'start_char': [53], 'end_char': [68]}}"
We present an AIDS patient with severe and prolonged lactic acidosis on stavudine and lamivudine.,stavudine,lactic acidosis,"{'drug': {'start_char': [72], 'end_char': [81]}, 'effect': {'start_char': [53], 'end_char': [68]}}"
"Ataxia caused by propafenone has been reported to the pharmaceutical companies and drug monitoring agencies, but has not been well described or emphasized in the medical literature.",propafenone,Ataxia,"{'drug': {'start_char': [17], 'end_char': [28]}, 'effect': {'start_char': [0], 'end_char': [6]}}"
A wide variety of adverse central nervous system effects have been reported in association with propafenone; dizziness is the most common.,propafenone,adverse central nervous system effects,"{'drug': {'start_char': [96], 'end_char': [107]}, 'effect': {'start_char': [18], 'end_char': [56]}}"
A wide variety of adverse central nervous system effects have been reported in association with propafenone; dizziness is the most common.,propafenone,dizziness,"{'drug': {'start_char': [96], 'end_char': [107]}, 'effect': {'start_char': [109], 'end_char': [118]}}"
Propafenone-induced ataxia: report of three cases.,Propafenone,ataxia,"{'drug': {'start_char': [0], 'end_char': [11]}, 'effect': {'start_char': [20], 'end_char': [26]}}"
We describe 3 elderly patients with moderate to severe ataxia that occurred while they were taking propafenone.,propafenone,ataxia,"{'drug': {'start_char': [99], 'end_char': [110]}, 'effect': {'start_char': [55], 'end_char': [61]}}"
"A 74-year-old man received oral administration of pilsicainide, a pure sodium channel blocker with slow recovery kinetics, to convert paroxysmal atrial fibrillation to sinus rhythm and developed loss of consciousness two days later.",pilsicainide,loss of consciousness,"{'drug': {'start_char': [50], 'end_char': [62]}, 'effect': {'start_char': [195], 'end_char': [216]}}"
"When pilsicainide is prescribed in patients with coronary artery disease or renal dysfunction, close attention must be paid to avoid life-threatening arrhythmias due to high plasma concentrations of the drug.",pilsicainide,life-threatening arrhythmias,"{'drug': {'start_char': [5], 'end_char': [17]}, 'effect': {'start_char': [133], 'end_char': [161]}}"
"The cases are important in documenting that drug-induced dystonias do occur in patients with dementia, that risperidone appears to have contributed to dystonia among elderly patients, and that the categorization of dystonic reactions needs further clarification.",risperidone,dystonia,"{'drug': {'start_char': [108], 'end_char': [119]}, 'effect': {'start_char': [57, 151], 'end_char': [65, 159]}}"
Provocation of non-convulsive status epilepticus by tiagabine in three adolescent patients.,tiagabine,non-convulsive status epilepticus,"{'drug': {'start_char': [52], 'end_char': [61]}, 'effect': {'start_char': [15], 'end_char': [48]}}"
The events of non-convulsive status epilepticus subsided following reduction in tiagabine dosages.,tiagabine,non-convulsive status epilepticus,"{'drug': {'start_char': [80], 'end_char': [89]}, 'effect': {'start_char': [14], 'end_char': [47]}}"
This is the first report of non-convulsive status epilepticus provoked by tiagabine in adolescent patients.,tiagabine,non-convulsive status epilepticus,"{'drug': {'start_char': [74], 'end_char': [83]}, 'effect': {'start_char': [28], 'end_char': [61]}}"
There have been many reports of probable lithium-induced organic brain syndromes occurring when serum lithium levels are within or close to the therapeutic range.,lithium,organic brain syndromes,"{'drug': {'start_char': [41, 102], 'end_char': [48, 109]}, 'effect': {'start_char': [57], 'end_char': [80]}}"
"When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.",lithium,intense anxiety,"{'drug': {'start_char': [173], 'end_char': [180]}, 'effect': {'start_char': [77], 'end_char': [92]}}"
"When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.",lithium,neurotoxicity,"{'drug': {'start_char': [173], 'end_char': [180]}, 'effect': {'start_char': [181], 'end_char': [194]}}"
"When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.",lithium,psychotic symptoms,"{'drug': {'start_char': [173], 'end_char': [180]}, 'effect': {'start_char': [54], 'end_char': [72]}}"
Protease inhibitor-induced carbamazepine toxicity.,carbamazepine,carbamazepine toxicity,"{'drug': {'start_char': [27], 'end_char': [40]}, 'effect': {'start_char': [27], 'end_char': [49]}}"
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,carbamazepine,carbamazepine toxicity,"{'drug': {'start_char': [131], 'end_char': [144]}, 'effect': {'start_char': [131], 'end_char': [153]}}"
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,ritonavir,carbamazepine toxicity,"{'drug': {'start_char': [21], 'end_char': [30]}, 'effect': {'start_char': [131], 'end_char': [153]}}"
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,saquinavir,carbamazepine toxicity,"{'drug': {'start_char': [35], 'end_char': [45]}, 'effect': {'start_char': [131], 'end_char': [153]}}"
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,carbamazepine,progressive ataxia,"{'drug': {'start_char': [131], 'end_char': [144]}, 'effect': {'start_char': [101], 'end_char': [119]}}"
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,ritonavir,progressive ataxia,"{'drug': {'start_char': [21], 'end_char': [30]}, 'effect': {'start_char': [101], 'end_char': [119]}}"
Protease inhibitors (ritonavir and saquinavir) were added to the treatment and the patient developed progressive ataxia related to carbamazepine toxicity.,saquinavir,progressive ataxia,"{'drug': {'start_char': [35], 'end_char': [45]}, 'effect': {'start_char': [101], 'end_char': [119]}}"
"Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.",Ritonavir,clinical toxicity,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [122], 'end_char': [139]}}"
"Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.",Ritonavir,diminishing carbamazepine metabolism,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [39], 'end_char': [75]}}"
"Ritonavir acted as a CYP3A4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity.",Ritonavir,increase in serum levels,"{'drug': {'start_char': [0], 'end_char': [9]}, 'effect': {'start_char': [93], 'end_char': [117]}}"
The patient was diagnosed with carbamazepine toxicity related to the introduction of ritonavir.,carbamazepine,carbamazepine toxicity,"{'drug': {'start_char': [31], 'end_char': [44]}, 'effect': {'start_char': [31], 'end_char': [53]}}"
The patient was diagnosed with carbamazepine toxicity related to the introduction of ritonavir.,ritonavir,carbamazepine toxicity,"{'drug': {'start_char': [85], 'end_char': [94]}, 'effect': {'start_char': [31], 'end_char': [53]}}"
Anaphylaxis to calcitonin.,calcitonin,Anaphylaxis,"{'drug': {'start_char': [15], 'end_char': [25]}, 'effect': {'start_char': [0], 'end_char': [11]}}"
CONCLUSION: We have introduced a case of anaphylaxis by calcitonin that suggest an IgE mediated hypersensitivity reaction.,calcitonin,anaphylaxis ,"{'drug': {'start_char': [56], 'end_char': [66]}, 'effect': {'start_char': [41], 'end_char': [53]}}"
The intramuscular challenge test with 25 UI of Miacalcic was positive with an immediate anaphylactic reaction.,Miacalcic,anaphylactic reaction,"{'drug': {'start_char': [47], 'end_char': [56]}, 'effect': {'start_char': [88], 'end_char': [109]}}"
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).",calcitonin,conjunctivitis,"{'drug': {'start_char': [170], 'end_char': [180]}, 'effect': {'start_char': [91], 'end_char': [105]}}"
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).",Calsynar,conjunctivitis,"{'drug': {'start_char': [231], 'end_char': [239]}, 'effect': {'start_char': [91], 'end_char': [105]}}"
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).",calcitonin,perspiration,"{'drug': {'start_char': [170], 'end_char': [180]}, 'effect': {'start_char': [110], 'end_char': [122]}}"
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).",Calsynar,perspiration,"{'drug': {'start_char': [231], 'end_char': [239]}, 'effect': {'start_char': [110], 'end_char': [122]}}"
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).",calcitonin,rhinitis,"{'drug': {'start_char': [170], 'end_char': [180]}, 'effect': {'start_char': [81], 'end_char': [89]}}"
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).",Calsynar,rhinitis,"{'drug': {'start_char': [231], 'end_char': [239]}, 'effect': {'start_char': [81], 'end_char': [89]}}"
Minocycline as a cause of drug-induced autoimmune hepatitis.,Minocycline,autoimmune hepatitis,"{'drug': {'start_char': [0], 'end_char': [11]}, 'effect': {'start_char': [39], 'end_char': [59]}}"
Minocycline-induced autoimmune hepatitis is usually identical to sporadic autoimmune hepatitis.,Minocycline,autoimmune hepatitis,"{'drug': {'start_char': [0], 'end_char': [11]}, 'effect': {'start_char': [20, 74], 'end_char': [40, 94]}}"
We describe the clinical and liver biopsy morphologic features for 4 patients with minocycline-induced autoimmune hepatitis (group 1).,minocycline,autoimmune hepatitis,"{'drug': {'start_char': [83], 'end_char': [94]}, 'effect': {'start_char': [103], 'end_char': [123]}}"
L-asparaginase-provoked seizures as singular expression of central nervous toxicity.,L-asparaginase,central nervous toxicity,"{'drug': {'start_char': [0], 'end_char': [14]}, 'effect': {'start_char': [59], 'end_char': [83]}}"
L-asparaginase-provoked seizures as singular expression of central nervous toxicity.,L-asparaginase,seizures,"{'drug': {'start_char': [0], 'end_char': [14]}, 'effect': {'start_char': [24], 'end_char': [32]}}"
Patients treated with L-asparaginase may present with hemorrhagic and thrombotic cerebrovascular events.,L-asparaginase,hemorrhagic,"{'drug': {'start_char': [22], 'end_char': [36]}, 'effect': {'start_char': [54], 'end_char': [65]}}"
Patients treated with L-asparaginase may present with hemorrhagic and thrombotic cerebrovascular events.,L-asparaginase,thrombotic cerebrovascular events,"{'drug': {'start_char': [22], 'end_char': [36]}, 'effect': {'start_char': [70], 'end_char': [103]}}"
We report a case of seizure associated with L-asparaginase therapy but no evidence of hemorrhagic or thrombotic cerebrovascular events.,L-asparaginase,seizure,"{'drug': {'start_char': [44], 'end_char': [58]}, 'effect': {'start_char': [20], 'end_char': [27]}}"
"Eighty-two patients with various malignancies who received imipenem/cilastatin 143 times for neutropenic fever between March 1994 and October 1999 in Department of Pediatric Oncology, Gazi University, were identified.",cilastatin,neutropenic fever,"{'drug': {'start_char': [68], 'end_char': [78]}, 'effect': {'start_char': [93], 'end_char': [110]}}"
"Eighty-two patients with various malignancies who received imipenem/cilastatin 143 times for neutropenic fever between March 1994 and October 1999 in Department of Pediatric Oncology, Gazi University, were identified.",imipenem,neutropenic fever,"{'drug': {'start_char': [59], 'end_char': [67]}, 'effect': {'start_char': [93], 'end_char': [110]}}"
Incidence of seizures in pediatric cancer patients treated with imipenem/cilastatin.,cilastatin,seizures,"{'drug': {'start_char': [73], 'end_char': [83]}, 'effect': {'start_char': [13], 'end_char': [21]}}"
Incidence of seizures in pediatric cancer patients treated with imipenem/cilastatin.,imipenem,seizures,"{'drug': {'start_char': [64], 'end_char': [72]}, 'effect': {'start_char': [13], 'end_char': [21]}}"
Proconvulsive tendency of imipenem/cilastatin is one of its well-known side effects.,cilastatin,Proconvulsive,"{'drug': {'start_char': [35], 'end_char': [45]}, 'effect': {'start_char': [0], 'end_char': [13]}}"
Proconvulsive tendency of imipenem/cilastatin is one of its well-known side effects.,imipenem,Proconvulsive,"{'drug': {'start_char': [26], 'end_char': [34]}, 'effect': {'start_char': [0], 'end_char': [13]}}"
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",cilastatin,convulsions,"{'drug': {'start_char': [63, 127], 'end_char': [73, 137]}, 'effect': {'start_char': [28], 'end_char': [39]}}"
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",imipenem,convulsions,"{'drug': {'start_char': [54, 118], 'end_char': [62, 126]}, 'effect': {'start_char': [28], 'end_char': [39]}}"
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",cilastatin,seizure,"{'drug': {'start_char': [63, 127], 'end_char': [73, 137]}, 'effect': {'start_char': [100, 172], 'end_char': [107, 179]}}"
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",imipenem,seizure,"{'drug': {'start_char': [54, 118], 'end_char': [62, 126]}, 'effect': {'start_char': [100, 172], 'end_char': [107, 179]}}"
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",cilastatin,seizure,"{'drug': {'start_char': [63, 127], 'end_char': [73, 137]}, 'effect': {'start_char': [100, 172], 'end_char': [107, 179]}}"
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",imipenem,seizure,"{'drug': {'start_char': [54, 118], 'end_char': [62, 126]}, 'effect': {'start_char': [100, 172], 'end_char': [107, 179]}}"
Gabapentin-induced mood changes with hypomanic features in adults.,Gabapentin,hypomanic,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [37], 'end_char': [46]}}"
Gabapentin-induced mood changes with hypomanic features in adults.,Gabapentin,mood changes,"{'drug': {'start_char': [0], 'end_char': [10]}, 'effect': {'start_char': [19], 'end_char': [31]}}"
We report two adults who received gabapentin (GBP) and subsequently developed behavioural side effects.,gabapentin,behavioural side effects,"{'drug': {'start_char': [34], 'end_char': [44]}, 'effect': {'start_char': [78], 'end_char': [102]}}"
We report two adults who received gabapentin (GBP) and subsequently developed behavioural side effects.,GBP,behavioural side effects,"{'drug': {'start_char': [46], 'end_char': [49]}, 'effect': {'start_char': [78], 'end_char': [102]}}"
Acute pancreatitis in a child with idiopathic ulcerative colitis on long-term 5-aminosalicylic acid therapy.,5-aminosalicylic acid,Acute pancreatitis,"{'drug': {'start_char': [78], 'end_char': [99]}, 'effect': {'start_char': [0], 'end_char': [18]}}"
We describe a 10-year-old boy with ulcerative colitis who developed acute pancreatitis while on long-term treatment with 5-aminosalicylic acid.,5-aminosalicylic acid,acute pancreatitis,"{'drug': {'start_char': [121], 'end_char': [142]}, 'effect': {'start_char': [68], 'end_char': [86]}}"
CONCLUSION: Marked visual field constriction appears to be associated with vigabatrin therapy.,vigabatrin,visual field constriction,"{'drug': {'start_char': [75], 'end_char': [85]}, 'effect': {'start_char': [19], 'end_char': [44]}}"
"Electro-oculography, electroretinography, visual evoked potentials, and multifocal electroretinography in patients with vigabatrin-attributed visual field constriction.",vigabatrin,visual field constriction,"{'drug': {'start_char': [120], 'end_char': [130]}, 'effect': {'start_char': [142], 'end_char': [167]}}"
PURPOSE: Symptomatic visual field constriction thought to be associated with vigabatrin has been reported.,vigabatrin,visual field constriction,"{'drug': {'start_char': [77], 'end_char': [87]}, 'effect': {'start_char': [21], 'end_char': [46]}}"
"The current study investigated the visual fields and visual electrophysiology of eight patients with known vigabatrin-attributed visual field loss, three of whom were reported previously.",vigabatrin,visual field loss,"{'drug': {'start_char': [107], 'end_char': [117]}, 'effect': {'start_char': [129], 'end_char': [146]}}"
The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn.,vigabatrin,field defects,"{'drug': {'start_char': [75], 'end_char': [85]}, 'effect': {'start_char': [4], 'end_char': [17]}}"
Depressive symptoms disappeared after interferon therapy was stopped.,interferon,Depressive symptoms,"{'drug': {'start_char': [38], 'end_char': [48]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
Treatment of chronic hepatitis C with interferon alpha (IFN-alpha) is relatively contraindicated in patients with psychiatric disorders because of possible severe psychiatric side effects.,IFN-alpha,psychiatric side effects,"{'drug': {'start_char': [56], 'end_char': [65]}, 'effect': {'start_char': [163], 'end_char': [187]}}"
Treatment of chronic hepatitis C with interferon alpha (IFN-alpha) is relatively contraindicated in patients with psychiatric disorders because of possible severe psychiatric side effects.,interferon alpha,psychiatric side effects,"{'drug': {'start_char': [38], 'end_char': [54]}, 'effect': {'start_char': [163], 'end_char': [187]}}"
"While for ribavirin antidepressant effects are not known, we suppose that antidepressants may prevent changes in serotonergic or noradrenergic neurotransmission caused by IFN-alpha.",IFN-alpha,changes in serotonergic or noradrenergic neurotransmission,"{'drug': {'start_char': [171], 'end_char': [180]}, 'effect': {'start_char': [102], 'end_char': [160]}}"
